timestamp,mid_price,spread,best_bid,best_ask,bid_prices,bid_quantities,ask_prices,ask_quantities,bid_volume,ask_volume
1700000001.0,999.9959,0.23,999.88,1000.11,"[999.88, 999.83, 999.78, 999.73, 999.68, 999.63, 999.58, 999.53, 999.48, 999.43]","[52.0, 91.0, 3.0, 143.0, 143.0, 55.0, 34.0, 110.0, 344.0, 60.0]","[1000.11, 1000.16, 1000.21, 1000.26, 1000.31, 1000.36, 1000.41, 1000.46, 1000.51, 1000.56]","[72.0, 193.0, 32.0, 409.0, 7.0, 5.0, 260.0, 100.0, 103.0, 362.0]",1035.0,1543.0
1700000001.1,999.9693,0.16,999.89,1000.05,"[999.89, 999.84, 999.79, 999.74, 999.69, 999.64, 999.59, 999.54, 999.49, 999.44]","[105.0, 66.0, 40.0, 23.0, 151.0, 268.0, 374.0, 47.0, 174.0, 95.0]","[1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35, 1000.4, 1000.45, 1000.5]","[86.0, 14.0, 5.0, 34.0, 8.0, 59.0, 68.0, 18.0, 525.0, 56.0]",1343.0,873.0
1700000001.2,999.9599,0.1,999.91,1000.01,"[999.91, 999.86, 999.81, 999.76, 999.71, 999.66, 999.61, 999.56, 999.51, 999.46]","[25.0, 6.0, 9.0, 1.0, 178.0, 44.0, 97.0, 135.0, 31.0, 543.0]","[1000.01, 1000.06, 1000.11, 1000.16, 1000.21, 1000.26, 1000.31, 1000.36, 1000.41, 1000.46]","[27.0, 5.0, 9.0, 47.0, 14.0, 41.0, 104.0, 6.0, 61.0, 290.0]",1069.0,604.0
1700000001.3,999.9321,0.19,999.84,1000.03,"[999.84, 999.79, 999.74, 999.69, 999.64, 999.59, 999.54, 999.49, 999.44, 999.39]","[3.0, 174.0, 20.0, 23.0, 120.0, 282.0, 446.0, 214.0, 294.0, 203.0]","[1000.03, 1000.08, 1000.13, 1000.18, 1000.23, 1000.28, 1000.33, 1000.38, 1000.43, 1000.48]","[10.0, 76.0, 13.0, 94.0, 84.0, 45.0, 99.0, 140.0, 39.0, 77.0]",1779.0,677.0
1700000001.4,999.9403,0.1,999.89,999.99,"[999.89, 999.84, 999.79, 999.74, 999.69, 999.64, 999.59, 999.54, 999.49, 999.44]","[14.0, 67.0, 96.0, 55.0, 66.0, 50.0, 163.0, 63.0, 163.0, 118.0]","[999.99, 1000.04, 1000.09, 1000.14, 1000.19, 1000.24, 1000.29, 1000.34, 1000.39, 1000.44]","[30.0, 187.0, 172.0, 91.0, 131.0, 18.0, 65.0, 202.0, 174.0, 44.0]",855.0,1114.0
1700000001.5,999.9355,0.23,999.82,1000.05,"[999.82, 999.77, 999.72, 999.67, 999.62, 999.57, 999.52, 999.47, 999.42, 999.37]","[5.0, 160.0, 7.0, 147.0, 20.0, 568.0, 81.0, 182.0, 166.0, 124.0]","[1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35, 1000.4, 1000.45, 1000.5]","[72.0, 48.0, 219.0, 6.0, 589.0, 103.0, 41.0, 91.0, 211.0, 184.0]",1460.0,1564.0
1700000001.6,999.9373,0.45,999.71,1000.16,"[999.71, 999.66, 999.61, 999.56, 999.51, 999.46, 999.41, 999.36, 999.31, 999.26]","[47.0, 102.0, 54.0, 11.0, 60.0, 37.0, 276.0, 35.0, 217.0, 420.0]","[1000.16, 1000.21, 1000.26, 1000.31, 1000.36, 1000.41, 1000.46, 1000.51, 1000.56, 1000.61]","[7.0, 62.0, 209.0, 49.0, 54.0, 83.0, 29.0, 28.0, 528.0, 444.0]",1259.0,1493.0
1700000001.7,999.9342,0.1,999.88,999.98,"[999.88, 999.83, 999.78, 999.73, 999.68, 999.63, 999.58, 999.53, 999.48, 999.43]","[67.0, 283.0, 173.0, 46.0, 73.0, 137.0, 105.0, 50.0, 55.0, 200.0]","[999.98, 1000.03, 1000.08, 1000.13, 1000.18, 1000.23, 1000.28, 1000.33, 1000.38, 1000.43]","[175.0, 12.0, 95.0, 249.0, 1.0, 69.0, 189.0, 352.0, 479.0, 62.0]",1189.0,1683.0
1700000001.8,999.9452,0.1,999.9,1000.0,"[999.9, 999.85, 999.8, 999.75, 999.7, 999.65, 999.6, 999.55, 999.5, 999.45]","[40.0, 17.0, 34.0, 135.0, 2.0, 222.0, 3.0, 148.0, 10.0, 59.0]","[1000.0, 1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35, 1000.4, 1000.45]","[29.0, 141.0, 17.0, 369.0, 240.0, 10.0, 1.0, 26.0, 166.0, 1141.0]",670.0,2140.0
1700000001.9,999.9082,0.28,999.77,1000.05,"[999.77, 999.72, 999.67, 999.62, 999.57, 999.52, 999.47, 999.42, 999.37, 999.32]","[4.0, 101.0, 159.0, 211.0, 248.0, 206.0, 12.0, 128.0, 74.0, 87.0]","[1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35, 1000.4, 1000.45, 1000.5]","[112.0, 140.0, 94.0, 24.0, 121.0, 36.0, 208.0, 30.0, 201.0, 88.0]",1230.0,1054.0
1700000002.0,999.918,0.28,999.78,1000.06,"[999.78, 999.73, 999.68, 999.63, 999.58, 999.53, 999.48, 999.43, 999.38, 999.33]","[6.0, 278.0, 53.0, 34.0, 22.0, 91.0, 195.0, 275.0, 149.0, 627.0]","[1000.06, 1000.11, 1000.16, 1000.21, 1000.26, 1000.31, 1000.36, 1000.41, 1000.46, 1000.51]","[78.0, 12.0, 259.0, 38.0, 374.0, 39.0, 74.0, 178.0, 13.0, 487.0]",1730.0,1552.0
1700000002.1,999.9267,0.1,999.88,999.98,"[999.88, 999.83, 999.78, 999.73, 999.68, 999.63, 999.58, 999.53, 999.48, 999.43]","[3.0, 2.0, 2.0, 36.0, 40.0, 128.0, 321.0, 182.0, 185.0, 102.0]","[999.98, 1000.03, 1000.08, 1000.13, 1000.18, 1000.23, 1000.28, 1000.33, 1000.38, 1000.43]","[48.0, 52.0, 4.0, 26.0, 29.0, 10.0, 64.0, 9.0, 256.0, 285.0]",1001.0,783.0
1700000002.2,999.9313,0.1,999.88,999.98,"[999.88, 999.83, 999.78, 999.73, 999.68, 999.63, 999.58, 999.53, 999.48, 999.43]","[156.0, 20.0, 56.0, 58.0, 140.0, 130.0, 320.0, 29.0, 176.0, 80.0]","[999.98, 1000.03, 1000.08, 1000.13, 1000.18, 1000.23, 1000.28, 1000.33, 1000.38, 1000.43]","[36.0, 269.0, 43.0, 112.0, 70.0, 25.0, 3.0, 242.0, 16.0, 36.0]",1165.0,852.0
1700000002.3,999.9427,0.1,999.89,999.99,"[999.89, 999.84, 999.79, 999.74, 999.69, 999.64, 999.59, 999.54, 999.49, 999.44]","[31.0, 41.0, 2.0, 210.0, 446.0, 86.0, 58.0, 352.0, 91.0, 180.0]","[999.99, 1000.04, 1000.09, 1000.14, 1000.19, 1000.24, 1000.29, 1000.34, 1000.39, 1000.44]","[103.0, 28.0, 154.0, 109.0, 113.0, 221.0, 2.0, 58.0, 38.0, 61.0]",1497.0,887.0
1700000002.4,999.9255,0.1,999.88,999.98,"[999.88, 999.83, 999.78, 999.73, 999.68, 999.63, 999.58, 999.53, 999.48, 999.43]","[30.0, 23.0, 45.0, 62.0, 30.0, 121.0, 165.0, 241.0, 39.0, 184.0]","[999.98, 1000.03, 1000.08, 1000.13, 1000.18, 1000.23, 1000.28, 1000.33, 1000.38, 1000.43]","[69.0, 3.0, 46.0, 90.0, 33.0, 230.0, 181.0, 29.0, 101.0, 620.0]",940.0,1402.0
1700000002.5,999.9317,0.28,999.79,1000.07,"[999.79, 999.74, 999.69, 999.64, 999.59, 999.54, 999.49, 999.44, 999.39, 999.34]","[124.0, 39.0, 8.0, 24.0, 73.0, 73.0, 114.0, 204.0, 258.0, 197.0]","[1000.07, 1000.12, 1000.17, 1000.22, 1000.27, 1000.32, 1000.37, 1000.42, 1000.47, 1000.52]","[143.0, 235.0, 104.0, 185.0, 57.0, 18.0, 118.0, 401.0, 27.0, 81.0]",1114.0,1369.0
1700000002.6,999.9542,0.11,999.9,1000.01,"[999.9, 999.85, 999.8, 999.75, 999.7, 999.65, 999.6, 999.55, 999.5, 999.45]","[3.0, 270.0, 62.0, 28.0, 55.0, 4.0, 113.0, 255.0, 137.0, 275.0]","[1000.01, 1000.06, 1000.11, 1000.16, 1000.21, 1000.26, 1000.31, 1000.36, 1000.41, 1000.46]","[34.0, 95.0, 57.0, 97.0, 211.0, 549.0, 75.0, 534.0, 19.0, 168.0]",1202.0,1839.0
1700000002.7,999.9247,0.17,999.84,1000.01,"[999.84, 999.79, 999.74, 999.69, 999.64, 999.59, 999.54, 999.49, 999.44, 999.39]","[92.0, 32.0, 336.0, 75.0, 161.0, 111.0, 103.0, 89.0, 4.0, 727.0]","[1000.01, 1000.06, 1000.11, 1000.16, 1000.21, 1000.26, 1000.31, 1000.36, 1000.41, 1000.46]","[52.0, 179.0, 324.0, 147.0, 53.0, 79.0, 14.0, 367.0, 200.0, 508.0]",1730.0,1923.0
1700000002.8,999.9438,0.1,999.89,999.99,"[999.89, 999.84, 999.79, 999.74, 999.69, 999.64, 999.59, 999.54, 999.49, 999.44]","[88.0, 9.0, 6.0, 108.0, 67.0, 197.0, 458.0, 85.0, 157.0, 1.0]","[999.99, 1000.04, 1000.09, 1000.14, 1000.19, 1000.24, 1000.29, 1000.34, 1000.39, 1000.44]","[12.0, 73.0, 1.0, 100.0, 109.0, 12.0, 364.0, 225.0, 407.0, 31.0]",1176.0,1334.0
1700000002.9,999.8835,0.1,999.83,999.93,"[999.83, 999.78, 999.73, 999.68, 999.63, 999.58, 999.53, 999.48, 999.43, 999.38]","[152.0, 43.0, 77.0, 31.0, 71.0, 174.0, 149.0, 2.0, 6.0, 113.0]","[999.93, 999.98, 1000.03, 1000.08, 1000.13, 1000.18, 1000.23, 1000.28, 1000.33, 1000.38]","[75.0, 61.0, 16.0, 154.0, 371.0, 51.0, 91.0, 91.0, 59.0, 79.0]",818.0,1048.0
1700000003.0,999.8559,0.1,999.81,999.91,"[999.81, 999.76, 999.71, 999.66, 999.61, 999.56, 999.51, 999.46, 999.41, 999.36]","[3.0, 22.0, 174.0, 37.0, 30.0, 194.0, 72.0, 222.0, 198.0, 215.0]","[999.91, 999.96, 1000.01, 1000.06, 1000.11, 1000.16, 1000.21, 1000.26, 1000.31, 1000.36]","[18.0, 56.0, 232.0, 129.0, 134.0, 76.0, 163.0, 114.0, 31.0, 66.0]",1167.0,1019.0
1700000003.1,999.8646,0.21,999.76,999.97,"[999.76, 999.71, 999.66, 999.61, 999.56, 999.51, 999.46, 999.41, 999.36, 999.31]","[5.0, 6.0, 17.0, 45.0, 19.0, 164.0, 108.0, 793.0, 580.0, 133.0]","[999.97, 1000.02, 1000.07, 1000.12, 1000.17, 1000.22, 1000.27, 1000.32, 1000.37, 1000.42]","[32.0, 8.0, 132.0, 335.0, 72.0, 198.0, 3.0, 1145.0, 18.0, 280.0]",1870.0,2223.0
1700000003.2,999.8405,0.1,999.79,999.89,"[999.79, 999.74, 999.69, 999.64, 999.59, 999.54, 999.49, 999.44, 999.39, 999.34]","[20.0, 69.0, 5.0, 43.0, 27.0, 15.0, 236.0, 75.0, 17.0, 106.0]","[999.89, 999.94, 999.99, 1000.04, 1000.09, 1000.14, 1000.19, 1000.24, 1000.29, 1000.34]","[10.0, 1.0, 9.0, 114.0, 1.0, 60.0, 98.0, 46.0, 137.0, 338.0]",613.0,814.0
1700000003.3,999.815,0.11,999.76,999.87,"[999.76, 999.71, 999.66, 999.61, 999.56, 999.51, 999.46, 999.41, 999.36, 999.31]","[8.0, 41.0, 186.0, 55.0, 80.0, 360.0, 56.0, 7.0, 357.0, 128.0]","[999.87, 999.92, 999.97, 1000.02, 1000.07, 1000.12, 1000.17, 1000.22, 1000.27, 1000.32]","[7.0, 6.0, 53.0, 149.0, 3.0, 9.0, 16.0, 26.0, 170.0, 10.0]",1278.0,449.0
1700000003.4,999.8447,0.51,999.59,1000.1,"[999.59, 999.54, 999.49, 999.44, 999.39, 999.34, 999.29, 999.24, 999.19, 999.14]","[250.0, 1.0, 17.0, 70.0, 8.0, 514.0, 470.0, 106.0, 340.0, 383.0]","[1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35, 1000.4, 1000.45, 1000.5, 1000.55]","[38.0, 32.0, 161.0, 57.0, 273.0, 126.0, 96.0, 78.0, 58.0, 41.0]",2159.0,960.0
1700000003.5,999.8532,0.1,999.8,999.9,"[999.8, 999.75, 999.7, 999.65, 999.6, 999.55, 999.5, 999.45, 999.4, 999.35]","[1.0, 16.0, 265.0, 235.0, 264.0, 50.0, 418.0, 178.0, 8.0, 49.0]","[999.9, 999.95, 1000.0, 1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35]","[54.0, 12.0, 9.0, 136.0, 1.0, 4.0, 273.0, 54.0, 457.0, 284.0]",1484.0,1284.0
1700000003.6,999.8481,0.1,999.8,999.9,"[999.8, 999.75, 999.7, 999.65, 999.6, 999.55, 999.5, 999.45, 999.4, 999.35]","[9.0, 5.0, 115.0, 10.0, 22.0, 96.0, 6.0, 167.0, 11.0, 38.0]","[999.9, 999.95, 1000.0, 1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35]","[4.0, 152.0, 287.0, 125.0, 129.0, 36.0, 158.0, 183.0, 243.0, 297.0]",479.0,1614.0
1700000003.7,999.8536,0.1,999.8,999.9,"[999.8, 999.75, 999.7, 999.65, 999.6, 999.55, 999.5, 999.45, 999.4, 999.35]","[59.0, 64.0, 165.0, 12.0, 124.0, 80.0, 92.0, 25.0, 245.0, 131.0]","[999.9, 999.95, 1000.0, 1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35]","[5.0, 486.0, 75.0, 49.0, 359.0, 233.0, 216.0, 11.0, 191.0, 404.0]",997.0,2029.0
1700000003.8,999.7867,0.29,999.64,999.93,"[999.64, 999.59, 999.54, 999.49, 999.44, 999.39, 999.34, 999.29, 999.24, 999.19]","[16.0, 10.0, 173.0, 52.0, 79.0, 45.0, 97.0, 54.0, 10.0, 369.0]","[999.93, 999.98, 1000.03, 1000.08, 1000.13, 1000.18, 1000.23, 1000.28, 1000.33, 1000.38]","[9.0, 25.0, 156.0, 104.0, 96.0, 272.0, 25.0, 104.0, 107.0, 646.0]",905.0,1544.0
1700000003.9,999.7745,0.1,999.72,999.82,"[999.72, 999.67, 999.62, 999.57, 999.52, 999.47, 999.42, 999.37, 999.32, 999.27]","[8.0, 30.0, 18.0, 44.0, 12.0, 112.0, 31.0, 38.0, 682.0, 313.0]","[999.82, 999.87, 999.92, 999.97, 1000.02, 1000.07, 1000.12, 1000.17, 1000.22, 1000.27]","[107.0, 4.0, 24.0, 44.0, 192.0, 118.0, 1.0, 52.0, 287.0, 1050.0]",1288.0,1879.0
1700000004.0,999.7272,0.13,999.66,999.79,"[999.66, 999.61, 999.56, 999.51, 999.46, 999.41, 999.36, 999.31, 999.26, 999.21]","[47.0, 41.0, 133.0, 210.0, 23.0, 99.0, 16.0, 27.0, 108.0, 68.0]","[999.79, 999.84, 999.89, 999.94, 999.99, 1000.04, 1000.09, 1000.14, 1000.19, 1000.24]","[5.0, 49.0, 107.0, 124.0, 42.0, 97.0, 31.0, 41.0, 66.0, 527.0]",772.0,1089.0
1700000004.1,999.7392,0.18,999.65,999.83,"[999.65, 999.6, 999.55, 999.5, 999.45, 999.4, 999.35, 999.3, 999.25, 999.2]","[38.0, 90.0, 234.0, 40.0, 145.0, 51.0, 289.0, 23.0, 25.0, 139.0]","[999.83, 999.88, 999.93, 999.98, 1000.03, 1000.08, 1000.13, 1000.18, 1000.23, 1000.28]","[4.0, 21.0, 62.0, 29.0, 291.0, 98.0, 91.0, 115.0, 216.0, 67.0]",1074.0,994.0
1700000004.2,999.7175,0.51,999.46,999.97,"[999.46, 999.41, 999.36, 999.31, 999.26, 999.21, 999.16, 999.11, 999.06, 999.01]","[102.0, 47.0, 19.0, 31.0, 177.0, 116.0, 55.0, 5.0, 335.0, 31.0]","[999.97, 1000.02, 1000.07, 1000.12, 1000.17, 1000.22, 1000.27, 1000.32, 1000.37, 1000.42]","[30.0, 20.0, 34.0, 8.0, 37.0, 313.0, 85.0, 91.0, 151.0, 81.0]",918.0,850.0
1700000004.3,999.7086,0.1,999.66,999.76,"[999.66, 999.61, 999.56, 999.51, 999.46, 999.41, 999.36, 999.31, 999.26, 999.21]","[78.0, 79.0, 41.0, 93.0, 56.0, 15.0, 22.0, 518.0, 216.0, 83.0]","[999.76, 999.81, 999.86, 999.91, 999.96, 1000.01, 1000.06, 1000.11, 1000.16, 1000.21]","[71.0, 47.0, 123.0, 104.0, 155.0, 1.0, 603.0, 7.0, 85.0, 24.0]",1201.0,1220.0
1700000004.4,999.7015,0.1,999.65,999.75,"[999.65, 999.6, 999.55, 999.5, 999.45, 999.4, 999.35, 999.3, 999.25, 999.2]","[22.0, 188.0, 39.0, 286.0, 96.0, 62.0, 128.0, 134.0, 51.0, 54.0]","[999.75, 999.8, 999.85, 999.9, 999.95, 1000.0, 1000.05, 1000.1, 1000.15, 1000.2]","[115.0, 5.0, 58.0, 290.0, 42.0, 210.0, 52.0, 484.0, 26.0, 98.0]",1060.0,1380.0
1700000004.5,999.7464,0.27,999.61,999.88,"[999.61, 999.56, 999.51, 999.46, 999.41, 999.36, 999.31, 999.26, 999.21, 999.16]","[43.0, 100.0, 12.0, 152.0, 270.0, 179.0, 54.0, 35.0, 54.0, 24.0]","[999.88, 999.93, 999.98, 1000.03, 1000.08, 1000.13, 1000.18, 1000.23, 1000.28, 1000.33]","[55.0, 52.0, 64.0, 92.0, 252.0, 9.0, 71.0, 38.0, 211.0, 393.0]",923.0,1237.0
1700000004.6,999.7203,0.12,999.66,999.78,"[999.66, 999.61, 999.56, 999.51, 999.46, 999.41, 999.36, 999.31, 999.26, 999.21]","[2.0, 41.0, 30.0, 92.0, 74.0, 202.0, 77.0, 99.0, 318.0, 107.0]","[999.78, 999.83, 999.88, 999.93, 999.98, 1000.03, 1000.08, 1000.13, 1000.18, 1000.23]","[49.0, 16.0, 114.0, 98.0, 118.0, 141.0, 132.0, 13.0, 62.0, 388.0]",1042.0,1131.0
1700000004.7,999.7449,0.35,999.57,999.92,"[999.57, 999.52, 999.47, 999.42, 999.37, 999.32, 999.27, 999.22, 999.17, 999.12]","[147.0, 55.0, 62.0, 66.0, 7.0, 92.0, 186.0, 51.0, 380.0, 186.0]","[999.92, 999.97, 1000.02, 1000.07, 1000.12, 1000.17, 1000.22, 1000.27, 1000.32, 1000.37]","[60.0, 61.0, 136.0, 59.0, 86.0, 34.0, 101.0, 42.0, 307.0, 158.0]",1232.0,1044.0
1700000004.8,999.7479,0.32,999.59,999.91,"[999.59, 999.54, 999.49, 999.44, 999.39, 999.34, 999.29, 999.24, 999.19, 999.14]","[12.0, 17.0, 247.0, 87.0, 93.0, 2.0, 70.0, 358.0, 284.0, 94.0]","[999.91, 999.96, 1000.01, 1000.06, 1000.11, 1000.16, 1000.21, 1000.26, 1000.31, 1000.36]","[53.0, 30.0, 48.0, 41.0, 27.0, 99.0, 94.0, 477.0, 20.0, 111.0]",1264.0,1000.0
1700000004.9,999.7587,0.14,999.69,999.83,"[999.69, 999.64, 999.59, 999.54, 999.49, 999.44, 999.39, 999.34, 999.29, 999.24]","[133.0, 32.0, 13.0, 204.0, 8.0, 70.0, 58.0, 143.0, 221.0, 119.0]","[999.83, 999.88, 999.93, 999.98, 1000.03, 1000.08, 1000.13, 1000.18, 1000.23, 1000.28]","[94.0, 3.0, 31.0, 83.0, 52.0, 19.0, 32.0, 78.0, 72.0, 242.0]",1001.0,706.0
1700000005.0,999.7388,0.22,999.63,999.85,"[999.63, 999.58, 999.53, 999.48, 999.43, 999.38, 999.33, 999.28, 999.23, 999.18]","[49.0, 91.0, 237.0, 33.0, 237.0, 2.0, 425.0, 16.0, 20.0, 105.0]","[999.85, 999.9, 999.95, 1000.0, 1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3]","[8.0, 1.0, 1.0, 32.0, 192.0, 16.0, 129.0, 267.0, 37.0, 63.0]",1215.0,746.0
1700000005.1,999.6864,0.24,999.57,999.81,"[999.57, 999.52, 999.47, 999.42, 999.37, 999.32, 999.27, 999.22, 999.17, 999.12]","[36.0, 121.0, 9.0, 147.0, 150.0, 57.0, 51.0, 128.0, 247.0, 297.0]","[999.81, 999.86, 999.91, 999.96, 1000.01, 1000.06, 1000.11, 1000.16, 1000.21, 1000.26]","[113.0, 13.0, 22.0, 128.0, 22.0, 1.0, 33.0, 56.0, 62.0, 208.0]",1243.0,658.0
1700000005.2,999.7105,0.1,999.66,999.76,"[999.66, 999.61, 999.56, 999.51, 999.46, 999.41, 999.36, 999.31, 999.26, 999.21]","[30.0, 84.0, 54.0, 99.0, 346.0, 177.0, 44.0, 27.0, 483.0, 200.0]","[999.76, 999.81, 999.86, 999.91, 999.96, 1000.01, 1000.06, 1000.11, 1000.16, 1000.21]","[89.0, 57.0, 70.0, 685.0, 273.0, 8.0, 26.0, 69.0, 72.0, 36.0]",1544.0,1385.0
1700000005.3,999.6855,0.11,999.63,999.74,"[999.63, 999.58, 999.53, 999.48, 999.43, 999.38, 999.33, 999.28, 999.23, 999.18]","[109.0, 28.0, 60.0, 52.0, 117.0, 36.0, 248.0, 530.0, 12.0, 1.0]","[999.74, 999.79, 999.84, 999.89, 999.94, 999.99, 1000.04, 1000.09, 1000.14, 1000.19]","[27.0, 50.0, 104.0, 51.0, 68.0, 116.0, 70.0, 529.0, 11.0, 22.0]",1193.0,1048.0
1700000005.4,999.7345,0.1,999.68,999.78,"[999.68, 999.63, 999.58, 999.53, 999.48, 999.43, 999.38, 999.33, 999.28, 999.23]","[86.0, 28.0, 18.0, 17.0, 106.0, 22.0, 79.0, 177.0, 219.0, 89.0]","[999.78, 999.83, 999.88, 999.93, 999.98, 1000.03, 1000.08, 1000.13, 1000.18, 1000.23]","[2.0, 29.0, 43.0, 59.0, 30.0, 526.0, 194.0, 15.0, 14.0, 111.0]",841.0,1023.0
1700000005.5,999.6783,0.1,999.63,999.73,"[999.63, 999.58, 999.53, 999.48, 999.43, 999.38, 999.33, 999.28, 999.23, 999.18]","[81.0, 70.0, 134.0, 164.0, 153.0, 118.0, 293.0, 155.0, 145.0, 139.0]","[999.73, 999.78, 999.83, 999.88, 999.93, 999.98, 1000.03, 1000.08, 1000.13, 1000.18]","[70.0, 23.0, 343.0, 153.0, 20.0, 159.0, 185.0, 20.0, 95.0, 63.0]",1452.0,1131.0
